r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2	r1	r2
9.4633	9.5741	9.6604	9.7966	11.9173	11.0311	10.0631	9.9108	9.9427	9.988	12.6837	12.3401	10.5919	10.2848	7.8366	7.718	8.3609	8.5305	8.2987	8.2987	11.208	11.3064	11.096	11.2246	11.0369	10.6937	10.32	10.4289	9.4968	9.2733	12.1156	12.4225	11.6304	11.6993	6.7245	6.5389	11.5865	11.4266	9.466	9.6846	9.1541	9.1344	9.5013	9.6045	8.2483	8.3011	9.2479	9.1588	8.9231	9.2139	7.5317	7.3883	11.9594	11.9923	11.289	11.151	8.6919	9.0031	12.415	12.3176	9.9628	10.1712	8.4044	8.3742	12.004	11.8742	11.0604	11.2729	11.02	11.0099	10.375	10.2494	10.5799	10.6499	10.2869	10.2622	10.2838	10.3878	9.3803	9.3803	8.8999	8.9795	9.8296	9.7855	8.1671	8.0884	13.3403	13.4332	11.7369	11.7811	8.443	8.5331	9.4629	9.6414	8.7434	8.791
9.0749	8.9915	9.6826	9.8674	11.4046	11.4964	10.0822	10.1199	10.6482	10.9614	11.706	11.991	11.1946	11.2507	7.6649	7.7181	9.0438	9.0442	8.6394	8.6497	11.172	10.8592	10.331	10.3952	10.7496	10.8461	9.8423	10.0211	8.7975	8.9305	11.8575	12.0229	10.7073	10.8267	6.6067	6.5247	11.5498	11.3737	8.8219	8.9368	8.4867	8.6024	8.8418	8.9456	8.3193	8.3714	8.8219	8.9582	9.3974	9.0272	7.9606	7.861	11.3799	11.4619	10.6565	10.5865	8.0986	8.3433	11.9333	12.1068	10.5338	10.5934	10.6829	10.85	11.2299	10.9752	10.5169	10.5302	11.3779	11.4574	11.0491	10.8196	11.0222	11.0015	9.691	9.672	9.0118	8.8514	9.9615	10.0836	8.2762	8.2011	9.4083	9.4697	8.4447	8.6685	12.9619	13.2411	11.654	11.4515	8.4095	8.5858	9.4121	9.438	9.0928	9.1252
9.2872	9.4558	9.8626	10.0005	12.0737	11.9816	10.0798	10.1596	10.6986	10.8153	12.1636	11.9618	10.2332	10.4337	8.1052	8.1575	9.5417	9.4687	8.6506	8.7982	11.4745	11.2954	11.1182	11.0738	10.3173	10.5163	9.6576	9.6091	9.2836	9.2902	13.2879	13.0475	10.6859	11.0618	6.9096	6.9494	12.3544	12.1884	8.7656	8.9771	8.2223	8.2396	9.443	9.4545	8.7213	8.9054	8.1467	8.1897	9.6369	9.5716	7.1698	7.2702	11.8749	12.1278	10.2912	10.387	8.8034	8.6597	12.1393	12.3811	11.0698	11.0653	9.4757	9.5917	11.7345	11.7006	11.3545	11.2388	10.7352	10.8542	10.7918	10.97	11.1403	11.2407	10.7584	10.7769	9.5913	9.458	8.7779	8.8019	9.5781	9.5878	10.2	10.2018	8.7757	8.8186	13.4367	13.3715	11.8442	11.7856	8.0968	7.8477	9.4747	9.3031	9.7357	9.5745
9.2195	9.2528	9.2749	9.4074	11.063	10.987	10.1814	10.2873	10.201	10.426	12.4867	12.7193	10.9251	11.1288	7.5672	7.6321	9.3977	9.1573	8.3128	8.286	11.3558	11.3677	9.9748	10.088	10.8355	10.6353	10.8966	10.8501	9.0915	8.9999	13.5508	13.2759	10.8121	10.719	7.4097	7.3259	10.925	11.0286	9.1568	9.1885	8.1154	8.1063	9.2831	9.4569	8.7708	8.7973	9.2263	9.3335	9.558	9.5618	7.1071	7.208	11.7509	11.5884	10.8042	10.9089	7.8347	7.8343	12.5531	12.4417	10.5132	10.506	9.8802	9.8359	11.4863	11.3464	11.4437	11.3503	10.1033	9.8027	10.1873	10.356	10.8659	10.8546	10.0721	10.0539	9.7328	9.7532	9.686	9.5782	9.251	9.5057	9.7102	9.519	8.0381	7.8871	13.297	13.5224	11.6745	11.7054	7.9313	7.7308	9.5457	9.5797	9.0935	9.3517
9.1725	9.084	9.4439	9.4752	12.9679	12.7631	9.7259	10.0356	10.2459	10.1895	12.559	12.4965	9.8794	9.9021	7.7987	7.8362	8.9795	9.026	8.5733	8.6301	12.0211	12.0237	9.8557	9.6744	10.5536	10.6334	9.9438	10.0114	9.3214	9.1247	12.4098	12.5193	11.369	11.4258	7.5785	7.534	11.1312	11.212	9.7936	10.027	8.1944	8.2361	9.7259	9.5581	8.7575	8.7222	8.9559	9.0311	9.4605	9.6087	7.1499	7.1233	10.2904	10.3585	9.5134	9.5352	8.0768	8.0323	11.815	11.0762	10.5477	10.5768	9.7152	9.5734	11.0784	10.8825	11.5819	11.324	11.5545	11.5927	10.6377	10.7556	11.2509	11.1713	10.0637	9.9588	9.5999	9.6792	9.5745	9.8636	9.0208	9.1338	9.7906	9.8629	7.5242	7.4765	14.2962	14.1573	12.5616	12.6926	8.7999	8.7026	9.9446	9.8851	8.9235	8.8091
9.7663	9.7593	9.1053	9.0866	11.9037	11.8629	10.6254	10.5434	10.0266	9.7341	12.2932	12.2511	10.6745	10.7538	7.9432	8.0292	8.6385	8.7163	8.6596	8.535	11.3539	11.3193	10.7349	10.814	10.6966	10.8248	9.7891	9.7607	8.6501	8.6483	13.0637	12.9259	10.6395	10.5649	7.2899	7.3343	10.6698	10.536	8.9021	8.7262	8.5517	8.5248	10.4003	10.3827	7.8822	8.0521	8.7665	8.7008	8.9547	8.7863	7.2058	7.0045	10.979	11.0799	10.4909	10.7694	8.9009	9.0045	11.6751	11.8374	10.685	10.6633	9.9631	10.0983	11.7189	11.8256	10.7602	10.7867	10.5954	10.8117	11.1283	10.9371	10.7724	10.8442	10.5299	10.4863	9.1436	8.9934	9.3687	9.2806	9.2376	9.258	9.5377	9.6794	8.0546	8.0407	13.2583	13.189	11.2406	11.1514	8.5676	8.627	9.5322	9.4098	9.1614	9.2929
9.0134	9.1197	9.1902	9.038	11.9014	11.7729	9.9916	9.991	10.9221	10.9796	12.0068	11.9932	11.1205	11.1847	7.9363	7.785	7.9249	7.9931	8.4359	8.6394	11.8819	12.0458	10.3837	10.3837	10.3005	10.2085	9.9798	10.1318	8.6291	8.5584	12.7511	12.3607	10.228	10.0715	6.8546	6.9091	10.6497	10.7668	9.1881	9.2043	9.0369	8.9166	11.03	10.799	8.7212	8.7935	8.8661	8.9577	9.9536	10.1092	7.351	7.3002	10.9907	11.182	9.9957	9.9856	8.5169	8.3701	11.6796	12.0152	10.1311	10.1716	9.915	9.9416	11.5498	11.6269	11.4989	11.6853	10.8019	10.6741	11.4949	11.5654	10.6868	10.579	9.538	9.5447	9.5195	9.4406	8.9432	9.2987	9.5055	9.3142	9.1688	9.2632	8.049	8.0507	13.6345	13.8239	11.4138	11.3294	7.7934	7.639	9.1725	9.1516	9.8834	9.8617
9.7358	9.9391	9.9467	9.685	12.0354	11.836	10.1177	10.3546	9.9056	9.8014	12.6233	12.4946	10.8493	10.6083	7.7602	7.7566	9.4884	9.3478	8.9449	9.084	11.7477	11.6944	10.5159	10.7363	10.9023	10.8881	10.1819	10.0936	10.1612	10.0546	12.3864	12.4589	11.5463	11.6282	7.1575	7.1094	10.4935	10.4362	9.2117	9.2422	8.2905	8.3228	10.4264	10.4316	8.2293	8.3972	8.9545	8.7378	9.1744	8.9428	7.5738	7.6289	11.7734	11.6337	10.4008	10.6496	7.3376	7.4538	11.8186	11.7824	10.8278	10.8487	9.4462	9.3956	10.9569	11.0752	12.0068	12.1735	12	12.0298	10.0431	10.0564	10.3701	10.4064	9.46	9.5519	9.0591	9.0654	9.5803	9.527	8.7053	8.6481	10.3532	10.1542	8.2088	8.2155	13.7101	13.8009	11.0835	10.9444	8.322	8.304	9.1079	9.0888	9.6689	9.4821
8.523	8.3487	9.8811	9.9237	12.1349	12.2088	10.6375	10.59	11.4152	11.3281	12.1878	11.9788	10.7513	10.77	8.1638	8.1782	8.3637	8.3387	8.6711	8.6983	11.9003	12.4969	10.9804	11.014	10.5582	10.7059	10.7457	10.7221	9.3857	9.4068	12.1772	12.102	10.778	10.3142	6.8328	6.7311	10.8826	11.0414	9.3657	9.2351	8.8613	8.7935	9.6153	9.431	8.4693	8.5279	9.0988	9.0276	9.931	10.0722	6.6491	6.6294	11.0879	11.0753	10.0946	10.108	7.706	7.6511	12.0555	11.9338	10.7775	10.7666	9.5415	9.7721	10.9033	10.6887	11.7023	11.461	10.8901	10.6784	10.9106	10.8599	10.8951	10.8265	11.0867	11.0653	9.9451	9.7605	9.7181	9.7542	9.379	9.345	10.0298	10.1782	8.6224	8.7825	14.0391	13.9398	12.1077	11.9189	7.8491	7.8045	9.3149	9.3266	9.9471	9.8171
9.4873	9.6561	9.7371	9.6511	11.4942	11.6525	10.1799	10.2947	10.8584	10.8228	11.486	11.6095	10.3328	10.4077	8.1733	8.1079	9.2175	9.3226	8.6708	8.5817	11.5596	11.8916	10.2616	10.2517	10.5549	10.5627	10.4298	10.2373	8.4336	8.4923	12.432	12.5021	10.4754	10.3036	6.7562	6.7453	11.2781	11.3176	8.6761	8.8746	8.837	8.6395	8.676	8.8166	8.5594	8.4026	9.8702	9.7034	8.5699	8.4858	7.5118	7.6814	11.5966	11.5408	10.6507	10.506	8.2164	8.1012	11.4898	11.5756	10.7493	10.5638	9.175	8.9883	11.3895	11.5891	10.7929	10.6224	11.8433	11.754	11.5131	11.6111	11.2224	11.063	9.7936	9.7152	10.0693	9.9636	9.7766	9.8112	8.7764	8.6653	10.6156	10.5722	7.9787	8.0275	13.0485	12.6538	12.0103	11.8974	7.3059	7.4955	9.6069	9.5577	9.3648	9.5721
